ZDMC,ZFY
急性心力衰竭,2163.78
急性心肌梗死,9297.54375
急性感染性喉炎,1006.49
急性扁桃体炎,350.8253225806453
急性支气管炎,522.8522981366459
急性支气管炎!!,851.552
急性早幼粒细胞白血病,2930.69
急性气管支气管炎,371.21
急性气管炎,451.9028571428572
急性淋巴细胞白血病,8239.560476190476
急性淋巴细胞白血病，完全缓解,666.38
急性淋巴结炎,350.9
急性牙周炎,81.11833333333334
急性白血病,15322.525
急性糜烂性胃炎,1149.145
急性细支气管炎,1676.72
急性结膜炎,5.31
急性肠炎,2526.285
急性肠系膜淋巴结炎,596.0799999999999
急性肺原性心脏病,1096.97
急性肺栓塞,5045.43
急性肺炎支原体性细支气管炎,4294.27
急性肾衰竭,15032.34
急性胃溃疡伴有出血,2367.85
急性胃炎,354.8866666666666
急性胃肠炎,1970.8950000000002
急性胆囊炎,4719.235000000001
急性胰腺炎,4142.279166666666
急性脑干梗死,2880.05
急性脑膜炎,2286.77
急性腮腺炎,635.49
急性膀胱炎,5.5
急性阑尾炎,2947.5710000000004
急性阑尾炎伴穿孔,4094.0950000000003
急性阴道炎,401.44
急性附睾炎,1774.4966666666667
急性颌下淋巴结炎,24.205
急性颌下腺炎,396.65
急性高侧壁心肌梗死,39734.05
急性鼻咽炎,5.86
急性鼻窦炎,531.7466666666666
恶性淋巴瘤,11727.17
恶性肿瘤,3028.903333333333
"恶性肿瘤,其他不明确部位的",6113.575
恶性肿瘤个人史,2284.95
恶性肿瘤中医治疗,4317.04
恶性肿瘤介入治疗,6857.13
恶性肿瘤化学治疗后随诊检查,6081.43
恶性肿瘤手术后随诊检查,1317.82
恶性肿瘤放射治疗,3116.8333333333335
恶性肿瘤术后放射治疗,5517.033333333334
恶性肿瘤治疗后随诊检查,459.22
恶性肿瘤的放疗、化疗,2311.626823529412
恶性肿瘤相关性PM或DM,10468.859999999999
恶性肿瘤维持性化学治疗,76936.12
恶性肿瘤门诊放化疗,2497.0475518672233
恶性肿瘤靶向治疗,4206.632
情绪性头痛,9.937499999999998
惊厥,410.09000000000003
感冒,15.29894736842105
感染,2834.59
感染性发热,1321.5263636363636
感音神经性耳聋,2287.0466666666666
慢性中耳炎,4378.72
慢性乙型丁型病毒性肝炎,102.7
慢性冠状动脉供血不足,26.095
慢性前列腺炎,300.36333333333334
慢性前列腺炎!!,2216.3033333333333
慢性咽炎,25.590000000000003
慢性喉咽炎,60.82
慢性喉炎,40.15
慢性女性盆腔炎,566.41
慢性尿道炎,9.65
慢性扁桃体炎,3347.771666666667
慢性支气管炎,605.8111170212768
慢性支气管炎伴肺气肿,2323.7641666666664
慢性支气管炎急性发作,2054.1266666666666
慢性根尖周炎,30.09
慢性泪囊炎,435.05
慢性浅表性胃炎,7.38
慢性淋巴细胞白血病,5402.98
慢性牙周炎,6.115
慢性病,5.02
慢性粒细胞性白血病，急淋变,1826.6
慢性肝炎,1667.2375000000002
慢性肠炎,1854.852
慢性肾小球肾炎,817.6430434782609
慢性肾炎,522.3736
慢性肾炎综合征，肾小球轻微病变,2172.83
慢性肾病,2985.35
慢性肾盂肾炎,338.2071428571429
慢性肾脏病5期,5654.44
慢性肾衰竭,6945.360000000001
慢性肾衰竭（慢性肾脏病CKD3-5期）,1420.7682352941174
慢性胃炎,842.7087155963302
慢性胃肠炎,1998.7474999999997
慢性胆囊炎,38908.82
慢性萎缩性胃炎,3728.9449999999997
慢性输卵管炎,1115.91
慢性阑尾炎,13.17
慢性阑尾炎急性发作,364.03
慢性阴道炎,39.65
慢性阻塞性肺疾病,4442.06
慢性阻塞性肺病,1745.8396969696971
慢性阻塞性肺病伴急性加重,1847.7814285714285
慢性阻塞性肺病伴有急性加重,3439.146666666667
慢性髓系白血病,532.64
慢性鼻炎,618.755
慢性鼻窦炎,2681.653333333333
慢性龈炎,9.71
成骨不全症,5488.82
房室传导阻滞,6702.74
房性早搏,22629.35
房间隔缺损,15327.286666666667
扁桃体周围炎,1135.09
扁桃体周脓肿,3909.95
扁桃体炎,787.1519999999999
扁桃体肥大,2734.515
扁桃体肿物,1861.03
扁桃体腺样体肥大,3185.13
手指挤压伤,1595.5766666666661
手指挫伤,2201.1650000000004
手指挫伤伴有指甲损害,2466.95
手指损伤,5543.114285714284
手指骨折，其他的,1980.26
手挤压伤,23147.38333333333
手挫伤,710.685
手掌板断裂,1469.6799999999998
手擦伤,3468.0699999999997
手术后切口感染,825.27
手术后恢复期,2758.29
手术后恶性肿瘤化学治疗,2217.9525000000003
手术后状态，其他特指的,2907.2
手肿胀,601.015
手足口病,3559.11
手部开放性损伤,15385.016666666665
手部指屈肌腱损伤,4475.57
手骨折,1711.94
扩张型心肌病,19528.0675
抑郁发作,5759.89
抑郁性精神病,524.2
抑郁症,362.73799999999994
抑郁障碍,795.8717948717949
抽动秽语综合征,8857.445
抽搐状态,1527.9583333333333
指关节痛风结节,12.35
指甲下出血,3086.78
指骨近节骨折,2818.17
指骨远节骨折,6229.78
指骨骨折,2191.2239999999997
挤压伤,2438.8025
挤压伤!!,3414.43
损伤,3199.1050000000005
掌骨骨折,995.635
排尿困难,58.4
支原体感染,112.72714285714282
支原体肺炎,1629.152222222222
支气管哮喘,844.6700000000001
支气管哮喘，非危重,1560.7833333333335
支气管囊肿,2707.46
支气管或肺恶性肿瘤,4531.735000000001
支气管扩张,842.9033333333333
支气管扩张伴咯血,3222.01
支气管扩张伴感染,758.91
支气管炎,704.6859090909091
支气管炎!!,1141.33
支气管肺炎,1270.4521739130435
支气管肺炎!!,1022.21
新生儿ABO溶血性黄疸,1240.0066666666667
新生儿休克,17004.91
新生儿低血糖症，其他的,2145.24
新生儿吸入综合征,2779.55
新生儿呼吸窘迫综合征,1900.76
新生儿湿肺,4786.48
新生儿溶血症,986.99
新生儿病理性黄疸,1404.8333333333333
新生儿窒息,2348.6575000000003
新生儿肝炎,4291.65
新生儿肺炎,3708.7579999999994
新生儿肺炎杆菌肺炎,8734.2775
新生儿胎粪吸入综合征,915.25
新生儿脑病,3808.8450000000003
新生儿腹泻,1743.45
新生儿败血症,4808.56
新生儿重度窒息,6888.92
新生儿高胆红素血症,1394.6333333333332
无性细胞瘤,1638.81
早产儿,4877.7266666666665
早产儿视网膜病变,1063.19
早产婴儿，其他的,8047.88
昏迷,1075.56
晕厥,1083.14
普通型偏头痛,6.784000000000001
普通精神病类疾病住院,4522.7
晶状体脱位,4428.23
智力低下,4071.885
月经不规则,43.09
朗格汉斯细胞组织细胞增生症,1256.58
未分化型精神分裂症,3309.2349999999997
机化性肺炎,1716.0625
枕大神经痛,4029.76
枕骨骨折,6180.93
查体,21.349999999999998
栓塞性偏瘫,5593.05
根尖周脓肿伴窦道,92.93
桡骨远端骨折,2345.41
桡骨骨折,5820.493846153846
梅尼埃［美尼尔］病,1101.68
梨状窝瘘,4210.3
植物过敏性接触性皮炎,7.73
椎-基底动脉供血不足,619.2616666666667
椎动脉型颈椎病,1464.13
椎基底动脉综合征,1416.0349999999999
椎管狭窄,35256.32
椎间盘疾患性腰痛伴坐骨神经痛,26.926666666666666
椎间盘移位性腰痛,6.015000000000001
椎间盘突出症,246.31196428571425
横纹肌肉瘤,3900.3275
正常分娩,935.19
正常妊娠监督,63.451428571428565
残胃炎,824.74
气管内异物,1297.42
气管炎,1201.87
气管狭窄,1947.2
气胸,2183.99
水痘,1185.43
水肿,1329.095
沙门菌伦敦血清型肠炎,3.5
沙门菌肠炎,10.69
治疗后恢复期,768.8
泌尿器官恶性肿瘤,1304.84
泌尿系结石,664.00375
泌尿系统疾患,668.79
泌尿系统疾病,763.078
泌尿道感染,1922.5590909090906
泌尿道梗阻,1921.95
法洛四联症,22340.05
泪小点狭窄,546.17
流产后腹痛,42.19
流行性感冒,28.98091954022992
流行性感冒伴肺炎，特指流感病毒,6.653333333333333
流行性腮腺炎,485.22
海绵窦脓肿,2093.54
消化不良,32.33379310344827
消化性溃疡,304.82823529411763
消化性溃疡伴出血,992.17
消化道出血,2699.068
淋巴瘤,6841.623333333333
淋巴结炎,3971.18
混合型颈椎病,1573.1208333333334
混合性分离性障碍,1365.96
混合痔,2269.030333333335
湿疹,815.9866666666667
溃疡性口炎,296.56
溃疡性结肠炎,316.73818181818183
溶血性黄疸,1170.68
滑膜囊肿,2742.11
滴虫性阴道炎,42.01
漏出性中耳炎,12.2
漏斗胸,9503.71
烟雾病,26307.34
烧伤,4722.465
烧伤伴有导致眼球破裂和破坏,2110.37
焦虑状态,2125.933333333333
焦虑障碍,1539.91
煤矽肺,5012.96
牙痛,35.71625
牙髓炎,31.448333333333334
特发性突聋,840.71
特发性（原发性）血小板减少性紫癜,368.58
特指上呼吸道疾病,18.79
特指急性胃炎,637.8640000000001
特指慢性阻塞性肺病,1341.21
特指慢性鼻窦炎,1050.98
特指泌尿系疾病,472.0
特指糖尿病,37.74
特指糖尿病伴酮症酸中毒,931.555
特指胆石症,515.06
特指脑内出血,3825.1
特指脑梗死,1649.8100000000004
特指趾骨骨折,1848.32
特指躁狂发作,5896.14
特指软组织疾患,16.64
狭窄性腱鞘炎,554.36
狼疮性肾炎,5065.608571428571
猩红热,1041.07
玻璃体混浊,9915.23
生长发育迟缓,7014.8
甲周炎,11.27
甲型H1N1流行性感冒性肺炎,8.76
甲沟炎,635.9075
甲状腺功能亢进症,2660.6899999999996
甲状腺功能亢进（减退）症,473.56
甲状腺功能减退症,332.84117647058827
甲状腺功能异常,682.1
甲状腺动态未定肿瘤,4116.31
甲状腺囊肿,519.01
甲状腺恶性肿瘤,4321.274444444444
甲状腺术后,727.03
甲状腺机能亢进,361.53875
甲状腺机能亢进症,1042.5
甲状腺机能减退,19.9
甲状腺机能减退症,246.11099999999996
甲状腺炎,1198.78
甲状腺疾患,21.81
甲状腺癌,7466.93
甲状腺结节,3723.504
甲状腺肿伴囊性变,4165.55
甲状腺肿物,4860.9514285714295
甲状腺肿瘤,4630.990000000001
电解质代谢紊乱,1874.69
男性乳房发育,2449.245
畸胎瘤,4985.49
疱疹性口炎病毒病,643.98
疱疹性咽峡炎,757.2187499999999
疼痛,40.5853125
疼痛性脂肪过多症,31.904999999999998
病毒性上呼吸道感染,6.225384615384616
病毒性感冒,6.707999999999998
病毒性感染,6670.06
病毒性皮疹,463.77
病毒性结膜炎,155.11333333333332
病毒性肝炎,2134.23
病毒性肝炎乙型丁型亚急性重型,4447.33
病毒性肝炎乙型慢性重,4595.77
病毒性肠炎,337.77
病毒性肠道感染,792.3877777777777
病毒性脑炎,3211.3540909090907
病毒性脑炎!!,719.0
病毒性脑膜炎,4670.84
病理性骨折,1841.74
症状性癫痫[继发性癫痫],2228.7166666666667
痛风性关节炎,48.845
痢疾,645.61
痣,1689.5
瘢痕子宫,9158.56
瘢痕感染,7305.83
瘢痕挛缩,5368.85
癔症性精神病,811.9633333333335
癫痫,2588.0349019607847
癫痫大发作（伴有或不伴有小发作）,2812.22
癫痫性意识障碍,1105.51
癫痫性精神病,2414.4700000000003
癫痫性脑病,7311.505
癫痫持续状态,2777.53
白内障,2942.9152631578945
白内障术后(大泡性无晶状体的)角膜病变,910.28
白癜风,7929.501578947368
白血病,7435.217142857141
百日咳肺炎,2311.96
皮-罗综合征,2849.41
皮下囊肿,1504.67
皮下肿物,992.095
皮下血肿,1942.925
皮炎,40.105000000000004
皮疹,11.3
皮肌炎,7608.425
皮肌炎DM,1115.83
皮肤恶性肿瘤,3565.09
皮肤恶性黑色素瘤,1056.72
皮肤感染,1489.8733333333332
皮肤感染性窦道,14517.82
皮肤挫伤,1800.4787500000002
皮肤炭疽,16.55142857142857
皮肤病虫侵染,841.1
皮肤真菌感染,205.41
皮肤肿物,1612.0949999999998
皮肤脓肿,1591.86
皮肤裂伤,1778.5378947368422
皮肤赘生物,1128.03
皮脂腺囊肿,1320.6875
盆腔子宫内膜异位症,2791.83
盆腔炎性肿物,799.8
盆腔肿瘤,682.41
盲肠恶性肿瘤,1681.89
直肠乙状结肠连接处恶性肿瘤,11537.73
直肠息肉,8601.42
直肠恶性肿瘤,3253.219310344827
直肠溃疡,3019.64
直肠癌_经腹腔镜超低位直肠癌根治术,18880.02
直肠癌_超低位直肠癌根治术,16272.26
直肠癌伴出血,1980.28
真菌性角膜溃疡,1247.37
眩晕,1271.565
眩晕综合征,899.7262499999999
